"_id","type","owner","source","sourceId","sourceName","session","sessionElement","track","sessionTitle","trackTitle","startDate","startLocation","stopLocation","runDuration","runDistance","locations","originalData","createdAt","updatedAt"
"00000000-5846-38f3-170e-c12476ec38a2",,"00000000-56ff-538b-2223-e1800b5e3ddb",,,,"00000000-57b4-db56-5353-be0e02a3665d","00000000-57fb-39b1-9287-2c12f5fb8635",,Day 1: Baseline Workout,Beginner Running Program,2016-12-05 20:02:43,"0101000020E61000003BBC314E8DA9424044183F8D7B815EC0","0101000020E6100000CA319BF8D1A9424096C6B3F4B6815EC0",141.1130590439,506.0701739211,"[{""lat"": 37.3246248, ""timestamp"": ""2016-12-05T20:02:43.470-0800"", ""altitude"": 0, ""long"": -122.023166}, {""lat"": 37.3246282, ""timestamp"": ""2016-12-05T20:02:47.468-0800"", ""altitude"": 0, ""long"": -122.02331837}, {""lat"": 37.32463193, ""timestamp"": ""2016-12-05T20:02:50.484-0800"", ""altitude"": 0, ""long"": -122.02343887}, {""lat"": 37.3246286, ""timestamp"": ""2016-12-05T20:02:53.468-0800"", ""altitude"": 0, ""long"": -122.02356127}, {""lat"": 37.3246316, ""timestamp"": ""2016-12-05T20:02:56.466-0800"", ""altitude"": 0, ""long"": -122.02369228}, {""lat"": 37.32462634, ""timestamp"": ""2016-12-05T20:02:59.454-0800"", ""altitude"": 0, ""long"": -122.02381665}, {""lat"": 37.32462629, ""timestamp"": ""2016-12-05T20:03:03.475-0800"", ""altitude"": 0, ""long"": -122.02395876}, {""lat"": 37.32462938, ""timestamp"": ""2016-12-05T20:03:06.460-0800"", ""altitude"": 0, ""long"": -122.02407183}, {""lat"": 37.32462846, ""timestamp"": ""2016-12-05T20:03:09.420-0800"", ""altitude"": 0, ""long"": -122.02420475}, {""lat"": 37.32461431, ""timestamp"": ""2016-12-05T20:03:12.441-0800"", ""altitude"": 0, ""long"": -122.02434526}, {""lat"": 37.32460617, ""timestamp"": ""2016-12-05T20:03:15.458-0800"", ""altitude"": 0, ""long"": -122.02447971}, {""lat"": 37.32459911, ""timestamp"": ""2016-12-05T20:03:18.469-0800"", ""altitude"": 0, ""long"": -122.02461567}, {""lat"": 37.3245991, ""timestamp"": ""2016-12-05T20:03:21.462-0800"", ""altitude"": 0, ""long"": -122.02473666}, {""lat"": 37.32460021, ""timestamp"": ""2016-12-05T20:03:24.385-0800"", ""altitude"": 0, ""long"": -122.02485088}, {""lat"": 37.32461272, ""timestamp"": ""2016-12-05T20:03:27.409-0800"", ""altitude"": 0, ""long"": -122.02497776}, {""lat"": 37.32469806, ""timestamp"": ""2016-12-05T20:03:31.456-0800"", ""altitude"": 0, ""long"": -122.02506371}, {""lat"": 37.32479044, ""timestamp"": ""2016-12-05T20:03:34.416-0800"", ""altitude"": 0, ""long"": -122.02507262}, {""lat"": 37.32488549, ""timestamp"": ""2016-12-05T20:03:37.468-0800"", ""altitude"": 0, ""long"": -122.02507594}, {""lat"": 37.32498776, ""timestamp"": ""2016-12-05T20:03:40.471-0800"", ""altitude"": 0, ""long"": -122.02506705}, {""lat"": 37.32509099, ""timestamp"": ""2016-12-05T20:03:43.460-0800"", ""altitude"": 0, ""long"": -122.02506347}, {""lat"": 37.32520634, ""timestamp"": ""2016-12-05T20:03:47.455-0800"", ""altitude"": 0, ""long"": -122.02507169}, {""lat"": 37.32530773, ""timestamp"": ""2016-12-05T20:03:50.471-0800"", ""altitude"": 0, ""long"": -122.02507104}, {""lat"": 37.32540693, ""timestamp"": ""2016-12-05T20:03:53.456-0800"", ""altitude"": 0, ""long"": -122.02508082}, {""lat"": 37.32550756, ""timestamp"": ""2016-12-05T20:03:56.451-0800"", ""altitude"": 0, ""long"": -122.02508123}, {""lat"": 37.32561029, ""timestamp"": ""2016-12-05T20:03:59.447-0800"", ""altitude"": 0, ""long"": -122.02508986}, {""lat"": 37.3257148, ""timestamp"": ""2016-12-05T20:04:02.443-0800"", ""altitude"": 0, ""long"": -122.02507279}, {""lat"": 37.32581744, ""timestamp"": ""2016-12-05T20:04:05.427-0800"", ""altitude"": 0, ""long"": -122.02506957}, {""lat"": 37.32588247, ""timestamp"": ""2016-12-05T20:04:08.444-0800"", ""altitude"": 0, ""long"": -122.02514811}, {""lat"": 37.32588797, ""timestamp"": ""2016-12-05T20:04:11.462-0800"", ""altitude"": 0, ""long"": -122.02527028}, {""lat"": 37.32588914, ""timestamp"": ""2016-12-05T20:04:14.465-0800"", ""altitude"": 0, ""long"": -122.02539062}, {""lat"": 37.32588961, ""timestamp"": ""2016-12-05T20:04:18.474-0800"", ""altitude"": 0, ""long"": -122.02554166}, {""lat"": 37.32589145, ""timestamp"": ""2016-12-05T20:04:21.458-0800"", ""altitude"": 0, ""long"": -122.02566174}, {""lat"": 37.32590184, ""timestamp"": ""2016-12-05T20:04:24.465-0800"", ""altitude"": 0, ""long"": -122.02579362}, {""lat"": 37.32590339, ""timestamp"": ""2016-12-05T20:04:27.454-0800"", ""altitude"": 0, ""long"": -122.02591935}, {""lat"": 37.32593487, ""timestamp"": ""2016-12-05T20:04:30.456-0800"", ""altitude"": 0, ""long"": -122.02602692}, {""lat"": 37.32603941, ""timestamp"": ""2016-12-05T20:04:34.426-0800"", ""altitude"": 0, ""long"": -122.02606428}, {""lat"": 37.32613412, ""timestamp"": ""2016-12-05T20:04:37.454-0800"", ""altitude"": 0, ""long"": -122.02606817}, {""lat"": 37.32623015, ""timestamp"": ""2016-12-05T20:04:40.440-0800"", ""altitude"": 0, ""long"": -122.02608086}, {""lat"": 37.32632152, ""timestamp"": ""2016-12-05T20:04:43.458-0800"", ""altitude"": 0, ""long"": -122.02614004}, {""lat"": 37.32639512, ""timestamp"": ""2016-12-05T20:04:46.442-0800"", ""altitude"": 0, ""long"": -122.02622935}, {""lat"": 37.32644619, ""timestamp"": ""2016-12-05T20:04:49.460-0800"", ""altitude"": 0, ""long"": -122.02633722}, {""lat"": 37.32645856, ""timestamp"": ""2016-12-05T20:04:52.467-0800"", ""altitude"": 0, ""long"": -122.02645995}, {""lat"": 37.32650919, ""timestamp"": ""2016-12-05T20:04:55.440-0800"", ""altitude"": 0, ""long"": -122.02655956}, {""lat"": 37.32657234, ""timestamp"": ""2016-12-05T20:04:58.435-0800"", ""altitude"": 0, ""long"": -122.02664669}, {""lat"": 37.3266436, ""timestamp"": ""2016-12-05T20:05:01.444-0800"", ""altitude"": 0, ""long"": -122.02672437}, {""lat"": 37.32672031, ""timestamp"": ""2016-12-05T20:05:04.441-0800"", ""altitude"": 0, ""long"": -122.02679174}]",,2016-12-05 20:05:07,2016-12-05 20:05:07
"00000000-5846-4835-170e-c12476ec38d8",,"00000000-5704-6615-a2ab-44376358dc8e",,,,"00000000-57b4-db56-5353-be0e02a3665d","00000000-57fb-39b1-9287-2c12f5fb8635",,Day 1: Baseline Workout,Beginner Running Program,2016-12-05 21:09:32,"0101000020E6100000B3FD8FC34CE342405CB1D3D0659A5EC0","0101000020E6100000B3FD8FC34CE342405CB1D3D0659A5EC0",40.5142489672,0,"[{""lat"": 37.77578014883937, ""timestamp"": ""2016-12-05T21:09:38.000-0800"", ""altitude"": 13.22586059570312, ""long"": -122.4124643394001}]",,2016-12-05 21:10:13,2016-12-05 21:10:13
"00000000-5846-48eb-170e-c12476ec38da",,"00000000-5704-6615-a2ab-44376358dc8e",,,,"00000000-57b4-db56-5353-be0e02a3665d","00000000-57fb-39b1-9287-2c12f5fb8635",,Day 1: Baseline Workout,Beginner Running Program,2016-12-05 21:13:08,"0101000020E6100000F72C56744EE342403A7604FB659A5EC0","0101000020E6100000F72C56744EE342403A7604FB659A5EC0",4.717427969,0,"[{""lat"": 37.77583173945339, ""timestamp"": ""2016-12-05T21:13:08.000-0800"", ""altitude"": 12.80804443359375, ""long"": -122.4124743976839}]",,2016-12-05 21:13:15,2016-12-05 21:13:15
"00000000-5846-83a5-170e-c12476ec3905",,"00000000-5704-6615-a2ab-44376358dc8e",,,,"00000000-581c-b2a3-9004-ee14073e1b56","00000000-5846-3d38-170e-c12476ec38b5",,Day 3: Drill Day,Beginner Running Program,2016-12-06 01:23:41,"0101000020E61000004B16B6714BE34240F8B70B9A649A5EC0","0101000020E61000005A26AC9E46E34240BD8FFEF2649A5EC0",6.1451599598,29.2618124915,"[{""lat"": 37.77573987379463, ""timestamp"": ""2016-12-06T01:23:42.006-0800"", ""altitude"": 21.10879516601562, ""long"": -122.4123902433761}, {""lat"": 37.77553715746642, ""timestamp"": ""2016-12-06T01:23:43.002-0800"", ""altitude"": 14.77279663085938, ""long"": -122.412413964162}, {""lat"": 37.77559486686976, ""timestamp"": ""2016-12-06T01:23:45.000-0800"", ""altitude"": 13.34103393554688, ""long"": -122.4124107790388}, {""lat"": 37.77559264566542, ""timestamp"": ""2016-12-06T01:23:46.000-0800"", ""altitude"": 13.19845581054688, ""long"": -122.4124114495911}]",,2016-12-06 01:23:49,2016-12-06 01:23:49
"00000000-5846-850f-170e-c12476ec3907",,"00000000-5704-6615-a2ab-44376358dc8e",,,,"00000000-581c-b2a3-9004-ee14073e1b56","00000000-5846-3d38-170e-c12476ec38b5",,Day 3: Drill Day,Beginner Running Program,2016-12-06 01:29:41,"0101000020E61000002C2698244DE3424075A8094F669A5EC0","0101000020E61000002C2698244DE3424075A8094F669A5EC0",8.6161289811,0,"[{""lat"": 37.77579171586574, ""timestamp"": ""2016-12-06T01:29:44.000-0800"", ""altitude"": 12.50863647460938, ""long"": -122.4124944304325}]",,2016-12-06 01:29:51,2016-12-06 01:29:51
"00000000-5847-49a5-170e-c12476ec3916",,"00000000-5704-6615-a2ab-44376358dc8e",,,,"00000000-57b4-db56-5353-be0e02a3665d","00000000-57fb-39b1-9287-2c12f5fb8635",,Day 1: Baseline Workout,Beginner Running Program,2016-12-06 15:28:29,"0101000020E610000010F9C5E533EF4240021B5EB07E905EC0","0101000020E61000000B0A52D431EF4240B735BC357D905EC0",6.0375170112,10.5910858705,"[{""lat"": 37.86877128764788, ""timestamp"": ""2016-12-06T15:28:32.007-0800"", ""altitude"": 84.44356536865234, ""long"": -122.2577324790156}, {""lat"": 37.868708171917, ""timestamp"": ""2016-12-06T15:28:34.000-0800"", ""altitude"": 84.0742416381836, ""long"": -122.2576422059184}]",,2016-12-06 15:28:37,2016-12-06 15:28:37
"00000000-5847-6611-170e-c12476ec3921",,"00000000-5704-6615-a2ab-44376358dc8e",,,,"00000000-57b4-db56-5353-be0e02a3665d","00000000-57fb-39b1-9287-2c12f5fb8635",,Day 1: Baseline Workout,Beginner Running Program,2016-12-06 17:29:47,"0101000020E610000000000000000000000000000000000000","0101000020E610000000000000000000000000000000000000",5.1670659781,0,"{}",,2016-12-06 17:29:53,2016-12-06 17:29:53
"00000000-5847-9a3b-170e-c12476ec3923",,"00000000-5704-6615-a2ab-44376358dc8e",,,,"00000000-57b4-db56-5353-be0e02a3665d","00000000-57fb-39b1-9287-2c12f5fb8635",,Day 1: Baseline Workout,Beginner Running Program,2016-12-06 21:12:15,"0101000020E610000000000000000000000000000000000000","0101000020E610000000000000000000000000000000000000",9.833047986,0,"{}",,2016-12-06 21:12:27,2016-12-06 21:12:27
"00000000-5848-afe1-435c-2f587b33e396",,"00000000-5704-6615-a2ab-44376358dc8e",,,,"00000000-57b4-db56-5353-be0e02a3665d","00000000-57fb-39b1-9287-2c12f5fb8635",,Day 1: Baseline Workout,Beginner Running Program,2016-12-07 16:56:57,"0101000020E6100000F8060E084EE3424069765EDC669A5EC0","0101000020E6100000F8060E084EE3424069765EDC669A5EC0",6.5043939948,0,"[{""lat"": 37.7758188313225, ""timestamp"": ""2016-12-07T16:57:04.000-0800"", ""altitude"": 13.17352294921875, ""long"": -122.4125281256832}]",,2016-12-07 16:57:05,2016-12-07 16:57:05
"00000000-5848-f522-435c-2f587b33e398",,"00000000-5704-6615-a2ab-44376358dc8e",,,,"00000000-57b4-db56-5353-be0e02a3665d","00000000-57fb-39b1-9287-2c12f5fb8635",,Day 1: Baseline Workout,Beginner Running Program,2016-12-07 21:52:25,"0101000020E610000000000000000000000000000000000000","0101000020E610000000000000000000000000000000000000",7.9823110104,0,"{}",,2016-12-07 21:52:34,2016-12-07 21:52:34
